Cell name	numeric_P(Erythroid)	numeric_P(Granulocyte)	numeric_P(Lymphoid)	numeric_P(Dendritic cell)	numeric_P(Megakaryocyte)	numeric_P(Monocyte)	numeric_P(Basophil/Mast cell)	numeric_Total counts	numeric_Uniform	Louvain cluster	Library	Prep Batch	numeric_x	numeric_y
cell_3361	2.8341999999999998e-15	1.0	1.0569e-16	1.6508e-15	1.105e-17	2.4571e-18	4.1435e-18	1409.0	0.0	3	3	4	565.69466	-884.9657800000001
cell_3382	0.082102	0.041364	0.037787	0.12725999999999998	0.6247699999999999	0.033138	0.053581	1291.0	0.0	6	3	4	321.73978999999997	-3.82884
cell_3391	1.0	2.7148e-16	8.2847e-17	1.131e-16	7.7421e-17	2.5125000000000004e-16	6.1673e-17	1129.0	0.0	8	3	4	78.6941	-877.32644
cell_3394	1.9166e-15	1.0	1.5595e-16	7.4659e-17	0.0	0.0	0.0	1336.0	0.0	3	3	4	552.1861299999999	-894.92995
cell_3395	3.2406999999999996e-15	1.0	1.5445e-16	0.0	0.0	1.0009999999999999e-16	0.0	1319.0	0.0	3	3	4	552.54002	-896.20113
cell_3402	0.056764	0.028398000000000003	0.025786	0.086478	0.74303	0.022858	0.03669	1059.0	0.0	6	3	4	320.62947	16.57398
cell_3410	1.0	4.6488e-15	1.6206e-15	7.1322e-16	2.4606e-16	4.2643e-15	6.0693e-17	1061.0	0.0	8	3	4	86.02176	-881.084
cell_3411	0.051895000000000004	0.067513	0.013753	0.019354	0.018932	0.016908000000000003	0.81165	1357.0	0.0	6	3	4	200.16281	-2.56685
cell_3414	2.512e-07	1.4898e-07	0.9999899999999999	1.4022e-05	2.0828000000000003e-08	9.959e-08	2.1724e-08	1162.0	0.0	10	3	4	418.03567000000004	13.56996
cell_3416	9.7007e-14	2.015e-12	2.2129999999999996e-11	1.0	8.1444e-14	6.4094e-12	4.5064e-14	1203.0	0.0	11	3	4	494.66573	-86.65432
cell_3419	1.0	1.7706000000000002e-14	1.681e-15	1.0489000000000001e-15	4.511199999999999e-16	7.9923e-15	2.8854999999999996e-17	1035.0	0.0	8	3	4	81.45204	-876.7302800000001
cell_3424	2.4956e-16	1.0	2.2627000000000003e-16	1.2234999999999999e-15	3.8446e-16	3.8027e-16	0.0	1323.0	0.0	3	3	4	550.56862	-891.7758699999999
cell_3427	7.954e-16	1.0	3.7675999999999996e-17	1.0393e-17	0.0	2.1674000000000002e-16	0.0	1239.0	0.0	3	3	4	559.49579	-883.87345
cell_3428	0.10613	0.045082	0.037861	0.12005	0.59573	0.037526	0.057623	1181.0	0.0	6	3	4	315.56786	29.919040000000003
cell_3439	0.07651799999999999	0.037172000000000004	0.033073000000000005	0.10500999999999999	0.67005	0.030066000000000002	0.048107	1289.0	0.0	6	3	4	318.53102	30.244809999999998
cell_3452	1.4207e-16	1.0	4.8263e-17	3.5652e-17	0.0	6.1172e-16	0.0	1074.0	0.0	3	3	4	559.64922	-885.7402199999999
cell_3560	0.0010792999999999998	0.026470999999999998	0.0026711	0.011602	0.00032752	0.9573	0.00055301	7121.0	0.0	2	4	4	579.6274599999999	-175.42411
cell_3583	0.0026238000000000004	0.11197	0.0057321	0.047711	0.00093749	0.82968	0.0013442	7546.0	0.0	2	4	4	583.018	-183.7231
cell_3615	0.0015067	0.012419	0.0018503	0.048373	0.00043409	0.9345399999999999	0.00087448	6610.0	0.0	2	4	4	614.1537400000001	-157.926
cell_3629	0.0017827000000000001	0.028544999999999997	0.0024222	0.049481	0.00045965	0.91669	0.00061447	6639.0	0.0	2	4	4	582.2719900000001	-174.5379
cell_3728	0.00083283	0.019667	0.0017702000000000002	0.015347	0.00024215	0.9617700000000001	0.00037086	6693.0	0.0	2	4	4	581.07415	-175.96958
cell_3734	0.00048431	0.007095699999999999	0.00093746	0.03259	0.00011106	0.95862	0.00016501	5812.0	0.0	2	4	4	605.8582200000001	-165.28313
